行政區,路名,段、號及其他註明,經度,緯度,備註
士林區,中正路,519號陽明高中站牌(2),121.5171606,25.09128358,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中正路,士商路51號,121.5193809,25.0924472,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,士商路,150號,121.515259,25.094197,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,承德路,五段80號監理站公車站,121.514563,25.096483,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,承德路,五段80號監理站大門,121.51434,25.0946705,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,士商路,189號科教館基河路396巷交叉口(左側),121.5172244,25.095295,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,士商路,科教館基河路396巷交叉口,121.5250462,25.0792186,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,士商路,189號科教館基河路396巷交叉口(右側),121.5250462,25.0792186,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中山北路,四段67號,121.5246883,25.0793029,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中山北路,四段67號,121.5246887,25.0793025,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,承德路,五段80號監理站,121.514696,25.094855,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,士商路,150號,121.515259,25.094197,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,士商路,150號,121.516927,25.094309,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,士商路,189號科教館,121.516386,25.095854,嚴禁投入家用垃圾，違者重罰新台幣6000元
